689.0383055430374
RASAINI,110
SAIFPUR,141
SANKRA,400
SHAMASPUR,348
SHEKHUPUR SATKUNA,229
SINDHAULI KHURD,166
SINGHPUR HIMMATPUR,26
SIRSA,237
TARAICHI,201
TEVATHU,15
TOCHHI,151
AMRITPUR BAKHATPUR,438
AOGIPUR,239
BAHARPUR,220
BAJHERHA,111
BAMOTI,400
BHIMPUR,80
BHOGPUR,393
BHOJPUR GYANPUR,206
CHANDNER,216
CHIVANPUR,192
CHUHARPUR,47
DAURAU CHANDPUR,350
DETA SAIDPUR,407
DETAKHURD,329
DHARMPUR,66
ELAMPURA,333
GANESHPUR,226
GANGAI,236
GWALARA,61
HASANPUR,207
HISAIL,138
HURSAINA,278
IMLAHARA,146
JAHRANA,363
JAKHAUTA,280
JALOKHARI,163
JAMANKA,300
KARANPUR,96
KHIJARPUR,203
KHYAMAI,157
KINHUA,159
LALPUR,163
LOHPOOTH,157
MAHARAJPUR,156
MARKHI,167
MOHARANA,262
NAGALA ASSOO,247
NAGALA SARUA,88
NAVABPUR,183
NOORULLAPUR,191
OGARNAGALA RAJOO,279
PAHAVATI,263
PANIHAVAR,143
RAMPUR,385
RASEEDPUR GORNA,241
RUPNAGAR,373
SABALPUR,209
SAHAJPURA,256
SHAHPUR,73
SOMNA,171
SUDESHPUR,288
SURAJPUR,246
TAJPUR,270
TEEKARI BHAVAPUR,411
THANPUR KHANPUR,170
UDAIPUR,130
UMARI,414
VIRPURA,380
VISARA,367
ALAHDADPUR,370
ALINAGAR,295
ALIPUR,332
BAHARAMPUR,272
BAJHERA,148
BALRAMPUR,303
BARAUTHA,433
BARKATPUR,0
BHAKARI AHIVASI,270
BHATAULA,322
BHAWAN GARHI,30
BHAWAN KHERA,400
BISAVANPUR SILLA,336
BONER,68
CHANGERI,215
CHHIRAVALI,409
DIHAULI,233
EDALPUR,214
GHASIPUR,266
GIRDHARPUR   GADHIYAVALI,222
GURUSHIKHARAN,177
GWALRA,248
HAJIPUR FATHEHKHAN,161
IKARI,225
IMLANI,151
ISHANPUR,353
ALAMPUR,94
AMAMADAPUR,132
BAGHIYAR,152
BAHADURPUR,146
BAMNOI,34
BARA KALAN,164
BARHAD,88
BHADROI,86
BHATAULI,77
BHELET RAMNAGAR,221
BHILAWALI,128
BHIMPUR HARIPURA,63
BHINOLI,263
BIJALPUR,149
BISTAULI,103
CHANDPUR MIRZA,130
CHITRAULI,167
DABHA,54
DABHAURA,153
DABHI,271
DARIYAPUR,151
DHANOLI CHINAULI,176
DHAURAI,0
DHAURI,223
GANGRAUL,48
GOBRA,16
GOLARA,122
GUDMAI MISHRIPUR,216
HASONA JAGMOHANPUR,331
JIROLI HIRA SINGH,418
KANAKPUR,212
KARAHLA,179
KATHAIRA,272
KHANDWAR,119
KIRATPUR,64
LADHAUWA,346
MALOI,332
MANAI,40
MANDANPUR,97
NAGARIA PATTI CHAHRAM,167
NAGLA KESIA,180
NAGLA SARTAJ,145
NANAU,78
NARRAU,120
PARAURI,81
QASIMPUR,251
QUTUBPUR AMARPUR,164
RAIPUR MANIPUR,287
RAJIPUR,210
SHAH GARH,321
KALAI,371
KALIYANPUR,241
KAMALPUR,296
KHAN ALAMPUR,201
KHARAI,130
KHERA BUZURG,360
KHITKARI,75
KOCHHOR,101
MAI,29
MORTHAL,365
MUSEPUR JALAL,196
NAGLA PANKHANI,236
NAYABAS NARENDRA GARHI,382
NIDHAULA,182
NIJAMTPUR BORNA,88
PALI RAZAPUR,259
PANAITHI,364
PIKHLAUNI,424
RAHSUPUR,271
ROHINA SINGHAPUR,377
SARMASTPUR MACHHUA,107
SHAHJAHANPUR TAJPUR,367
SHEBAJPUR,280
SIKANDARPUR MACHHUA,0
SONOTH GOKULPUR,291
UKAVLI,101
VARANADI,309
ABHAYPUR BAHLOLPUR,80
AJVAMAN DHER,0
ALAHDADPUR,315
ALAMPUR FATEHPUR,399
ALAMPUR RANI,1
BAHADURPUR RACHOI,302
BAIKALA,262
BAIKHURD,298
BAJIDPUR,208
BARAULI,250
BHAMORI BUZURG,430
BHAY,44
BHURIA MAJRA RAMPUR,0
BILAUNA CHITRASI,390
BISORA,156
BONAI,223
SHANKER GARH,289
SIKANDARPUR,263
SUHAWALI,413
TEHARA,201
TUAMAI,289
UNTASANI,137
AHAMADPURA,257
ALAMPUR KAYASTHAN,136
BAHADURPUR TABYU,147
BAHARABAD,196
BAIJLA,286
BAIMBIRPUR,168
BARHAULI,321
BHAVIGARH,371
BHOJPUR TA LOHGARH,208
BIDHIPUR,359
BIRNER,151
CHALAKPUR,196
CHANDAULA SUJANPUR,122
CHANDAULI BUZURG,163
CHAPAUTA,213
CHAUPUR HAUJ,303
DADAR ALUPURA,213
DHURRA KHAS URF PREMNAGAR,213
FAZALPUR,129
GAHTAULI NIRMAL,29
GANESHPUR GOVINDPUR,245
GANIYAVALI,352
GAON KHERA,378
GAZIPUR,156
GIJRAULI,368
GOVALI,41
HAIBATPUR,217
HARBANSHPUR,127
IZZATPUR,10
JAKHAIRA,260
JAMAL GARHI,153
JAMANPUR,294
BHAGOSA,133
KASERI,28
KELANPUR,20
KHERA NARAYANSINGH,26
CHHABILPUR,249
CHHARRA RAFATPUR,364
CHITKURA,232
DHANSARI,271
DORAI,288
GALIBPUR,45
GANGIRI,16
HABIBPUR,172
HASANPUR,116
HIDRAMAI,171
HUSSAINPUR DEHMAFI,252
JIRAVLI,67
KAKABEGPUR,311
KASIMPUR MATH KASER,217
KHERSA,156
MADAPUR,240
MAJHAULA,182
MAKHDUM NAGAR,172
MALSAI,55
MAMIANA UMMEDPUR,285
MAUPUR BAHADURPUR,216
MOHKAMPUR TA DADON,147
MUDHAIL,134
NABIPUR,230
NAUGAVAN,0
NAUSHA,73
NINAMAI OJIPUR,238
PAHARIPUR,0
PAINDRA NAWABPUR,180
PIPLOI,339
RAHMAPUR,128
RUKHALA,151
SALGAVAN,243
SHAHJAHANBAD,372
SIDHAULI KALAN,134
SIKHARNA KHURD KALAN,185
SIRAULI,347
SUNHARA,36
TANDAULI,90
TIKARI,0
TIKTA,286
AHLAD,232
AJAHARI,287
ALIPURA,138
AMARPUR DHANA,125
BAKSAGINORA,249
BANSVALI,167
BASAI,108
BHAIYAN,382
CHHAICHHAU,266
CHHOTI BALLABH,221
DIGSARI,86
EKTAJPUR,176
GIDAURA,132
GORAI,418
HARAUTHA,346
JAGNER,313
JALALPURDETA,169
JAMAU,191
JATWAR,178
KAIMTHAL,364
KALINJARI,169
KHIRSAULI,254
KUBARA,81
LADHAULI,287
LAKHTOI,261
MAHDAURA,272
MATI,229
MAUJIPUR,209
NAGLA BALRAM,66
NAGLA BIRKHU,253
NAGLA CHANDRAM,248
NAGLA DARVAR,297
NAGLA JAGDEV,342
NAGLA JOTU,208
NAGLA JUJHAR,427
NAGLA KALUA BAILAUTH,280
NAGLA KUNJI,183
PACHEHARA,344
RAFAYATPUR,372
RUDYAT URF TARAPUR,104
SALEMPUR,191
SEVANPUR,162
SHAPUR DHADHOI,8
SHYAM GARHI,223
SUDAMA,241
TAMAUTIYA,384
USAR PURTARAPUR,260
AGORANA,189
ARNIYAN KWAZA RAJU,338
ASROI,374
BARAUTH,260
BELAUTH,232
BHARATPUR,316
BHATOI,153
BHEELPUR,263
BICHAULA,126
BIDARAKA,206
BISHANPUR,104
BYOHARA,292
HARRAMPUR,351
JAITHOLI,348
JARAUTH,306
KAIMAWALI,224
KAJROTH,382
KANDALI,100
KARTHALA,319
KHERIYA GURDEV,370
MAKROL,212
MANIPUR,364
MATROI,23
MOHAKAMPUR,267
MUHRAINI,258
NAGLA AHIVASI,138
NAGLA JAR,389
NAGLACHURA,178
NAMA,343
NAUGAVAN,102
PAREELA,352
PISAUA,179
RAHATPUR IMALLIYA,222
SAHARA KALAN,336
SAHARA KHURD,313
SATLAUNI KALAN,190
SATLAUNI KHURD,188
SIKENDARPUR,162
SIMARDHARI,321
SIRKURRA,154
SITAPUR,208
TAHARPUR,264
TEEKAPUR,263
TEHARA,54
TOORI,193
AHAK,172
AHROLI,110
AMRAULI,429
BAHRAMPUR,153
BARAULI KHAS,290
BARHATI,392
BHIM GARIHI,245
BHOJPUR GARHIA,344
CHAUPUR,290
DABTHALA,369
DAOOPUR,224
DAOUPUR KOTA,279
DHAINKURA,132
DHAURRA MAFI,37
FARIDPUR,5
GANWARI,407
GODHA,364
GOPALPUR,75
HAIVATPUR SIYA,234
IMLAUTH,412
ISMAILPUR,369
JAMALPUR SIYA,213
JARAUTHI,272
JATPURA,281
JAWAN VAJIDPUR,50
KALIYANPUR,319
KANAURA,392
KASIMPUR,174
KASTARI VAISHYA,316
